ref,footprint,x_mm,y_mm,rotation,layer
LED202,LED_APA-102-2020-256-8:APA102_5050,180.0,240.0,0.0,F.Cu
LED203,LED_APA-102-2020-256-8:APA102_5050,200.0,240.0,0.0,F.Cu
LED204,LED_APA-102-2020-256-8:APA102_5050,220.0,240.0,0.0,F.Cu
LED205,LED_APA-102-2020-256-8:APA102_5050,240.0,240.0,0.0,F.Cu
LED206,LED_APA-102-2020-256-8:APA102_5050,260.0,240.0,0.0,F.Cu
LED207,LED_APA-102-2020-256-8:APA102_5050,280.0,240.0,0.0,F.Cu
LED208,LED_APA-102-2020-256-8:APA102_5050,300.0,240.0,0.0,F.Cu
LED209,LED_APA-102-2020-256-8:APA102_5050,0.0,260.0,0.0,F.Cu
LED210,LED_APA-102-2020-256-8:APA102_5050,20.0,260.0,0.0,F.Cu
LED211,LED_APA-102-2020-256-8:APA102_5050,40.0,260.0,0.0,F.Cu
LED212,LED_APA-102-2020-256-8:APA102_5050,60.0,260.0,0.0,F.Cu
LED213,LED_APA-102-2020-256-8:APA102_5050,80.0,260.0,0.0,F.Cu
LED214,LED_APA-102-2020-256-8:APA102_5050,100.0,260.0,0.0,F.Cu
LED215,LED_APA-102-2020-256-8:APA102_5050,120.0,260.0,0.0,F.Cu
LED216,LED_APA-102-2020-256-8:APA102_5050,140.0,260.0,0.0,F.Cu
LED217,LED_APA-102-2020-256-8:APA102_5050,160.0,260.0,0.0,F.Cu
LED218,LED_APA-102-2020-256-8:APA102_5050,180.0,260.0,0.0,F.Cu
LED219,LED_APA-102-2020-256-8:APA102_5050,200.0,260.0,0.0,F.Cu
LED220,LED_APA-102-2020-256-8:APA102_5050,220.0,260.0,0.0,F.Cu
LED221,LED_APA-102-2020-256-8:APA102_5050,240.0,260.0,0.0,F.Cu
LED222,LED_APA-102-2020-256-8:APA102_5050,260.0,260.0,0.0,F.Cu
LED223,LED_APA-102-2020-256-8:APA102_5050,280.0,260.0,0.0,F.Cu
LED224,LED_APA-102-2020-256-8:APA102_5050,300.0,260.0,0.0,F.Cu
LED225,LED_APA-102-2020-256-8:APA102_5050,0.0,280.0,0.0,F.Cu
LED226,LED_APA-102-2020-256-8:APA102_5050,20.0,280.0,0.0,F.Cu
LED227,LED_APA-102-2020-256-8:APA102_5050,40.0,280.0,0.0,F.Cu
LED228,LED_APA-102-2020-256-8:APA102_5050,60.0,280.0,0.0,F.Cu
LED229,LED_APA-102-2020-256-8:APA102_5050,80.0,280.0,0.0,F.Cu
LED230,LED_APA-102-2020-256-8:APA102_5050,100.0,280.0,0.0,F.Cu
LED231,LED_APA-102-2020-256-8:APA102_5050,120.0,280.0,0.0,F.Cu
LED232,LED_APA-102-2020-256-8:APA102_5050,140.0,280.0,0.0,F.Cu
LED233,LED_APA-102-2020-256-8:APA102_5050,160.0,280.0,0.0,F.Cu
LED234,LED_APA-102-2020-256-8:APA102_5050,180.0,280.0,0.0,F.Cu
LED235,LED_APA-102-2020-256-8:APA102_5050,200.0,280.0,0.0,F.Cu
LED236,LED_APA-102-2020-256-8:APA102_5050,220.0,280.0,0.0,F.Cu
LED237,LED_APA-102-2020-256-8:APA102_5050,240.0,280.0,0.0,F.Cu
LED238,LED_APA-102-2020-256-8:APA102_5050,260.0,280.0,0.0,F.Cu
LED239,LED_APA-102-2020-256-8:APA102_5050,280.0,280.0,0.0,F.Cu
LED240,LED_APA-102-2020-256-8:APA102_5050,300.0,280.0,0.0,F.Cu
LED241,LED_APA-102-2020-256-8:APA102_5050,0.0,300.0,0.0,F.Cu
LED242,LED_APA-102-2020-256-8:APA102_5050,20.0,300.0,0.0,F.Cu
LED243,LED_APA-102-2020-256-8:APA102_5050,40.0,300.0,0.0,F.Cu
LED244,LED_APA-102-2020-256-8:APA102_5050,60.0,300.0,0.0,F.Cu
LED245,LED_APA-102-2020-256-8:APA102_5050,80.0,300.0,0.0,F.Cu
LED246,LED_APA-102-2020-256-8:APA102_5050,100.0,300.0,0.0,F.Cu
LED247,LED_APA-102-2020-256-8:APA102_5050,120.0,300.0,0.0,F.Cu
LED248,LED_APA-102-2020-256-8:APA102_5050,140.0,300.0,0.0,F.Cu
LED249,LED_APA-102-2020-256-8:APA102_5050,160.0,300.0,0.0,F.Cu
LED250,LED_APA-102-2020-256-8:APA102_5050,180.0,300.0,0.0,F.Cu
LED251,LED_APA-102-2020-256-8:APA102_5050,200.0,300.0,0.0,F.Cu
LED252,LED_APA-102-2020-256-8:APA102_5050,220.0,300.0,0.0,F.Cu
LED253,LED_APA-102-2020-256-8:APA102_5050,240.0,300.0,0.0,F.Cu
LED254,LED_APA-102-2020-256-8:APA102_5050,260.0,300.0,0.0,F.Cu
LED255,LED_APA-102-2020-256-8:APA102_5050,280.0,300.0,0.0,F.Cu
LED256,LED_APA-102-2020-256-8:APA102_5050,300.0,300.0,0.0,F.Cu
