ref,footprint,x_mm,y_mm,rotation,layer
LED140,LED_APA-102-2020-256-8:APA102_5050,54.0,106.0,0.0,F.Cu
LED141,LED_APA-102-2020-256-8:APA102_5050,76.0,102.0,0.0,F.Cu
LED142,LED_APA-102-2020-256-8:APA102_5050,80.0,102.0,0.0,F.Cu
LED143,LED_APA-102-2020-256-8:APA102_5050,76.0,106.0,0.0,F.Cu
LED144,LED_APA-102-2020-256-8:APA102_5050,80.0,106.0,0.0,F.Cu
LED145,LED_APA-102-2020-256-8:APA102_5050,102.0,102.0,0.0,F.Cu
LED146,LED_APA-102-2020-256-8:APA102_5050,106.0,102.0,0.0,F.Cu
LED147,LED_APA-102-2020-256-8:APA102_5050,102.0,106.0,0.0,F.Cu
LED148,LED_APA-102-2020-256-8:APA102_5050,106.0,106.0,0.0,F.Cu
LED149,LED_APA-102-2020-256-8:APA102_5050,128.0,102.0,0.0,F.Cu
LED150,LED_APA-102-2020-256-8:APA102_5050,132.0,102.0,0.0,F.Cu
LED151,LED_APA-102-2020-256-8:APA102_5050,128.0,106.0,0.0,F.Cu
LED152,LED_APA-102-2020-256-8:APA102_5050,132.0,106.0,0.0,F.Cu
LED153,LED_APA-102-2020-256-8:APA102_5050,154.0,102.0,0.0,F.Cu
LED154,LED_APA-102-2020-256-8:APA102_5050,158.0,102.0,0.0,F.Cu
LED155,LED_APA-102-2020-256-8:APA102_5050,154.0,106.0,0.0,F.Cu
LED156,LED_APA-102-2020-256-8:APA102_5050,158.0,106.0,0.0,F.Cu
LED157,LED_APA-102-2020-256-8:APA102_5050,180.0,102.0,0.0,F.Cu
LED158,LED_APA-102-2020-256-8:APA102_5050,184.0,102.0,0.0,F.Cu
LED159,LED_APA-102-2020-256-8:APA102_5050,180.0,106.0,0.0,F.Cu
LED160,LED_APA-102-2020-256-8:APA102_5050,184.0,106.0,0.0,F.Cu
LED161,LED_APA-102-2020-256-8:APA102_5050,-2.0,128.0,0.0,F.Cu
LED162,LED_APA-102-2020-256-8:APA102_5050,2.0,128.0,0.0,F.Cu
LED163,LED_APA-102-2020-256-8:APA102_5050,-2.0,132.0,0.0,F.Cu
LED164,LED_APA-102-2020-256-8:APA102_5050,2.0,132.0,0.0,F.Cu
LED165,LED_APA-102-2020-256-8:APA102_5050,24.0,128.0,0.0,F.Cu
LED166,LED_APA-102-2020-256-8:APA102_5050,28.0,128.0,0.0,F.Cu
LED167,LED_APA-102-2020-256-8:APA102_5050,24.0,132.0,0.0,F.Cu
LED168,LED_APA-102-2020-256-8:APA102_5050,28.0,132.0,0.0,F.Cu
LED169,LED_APA-102-2020-256-8:APA102_5050,50.0,128.0,0.0,F.Cu
LED170,LED_APA-102-2020-256-8:APA102_5050,54.0,128.0,0.0,F.Cu
LED171,LED_APA-102-2020-256-8:APA102_5050,50.0,132.0,0.0,F.Cu
LED172,LED_APA-102-2020-256-8:APA102_5050,54.0,132.0,0.0,F.Cu
LED173,LED_APA-102-2020-256-8:APA102_5050,76.0,128.0,0.0,F.Cu
LED174,LED_APA-102-2020-256-8:APA102_5050,80.0,128.0,0.0,F.Cu
LED175,LED_APA-102-2020-256-8:APA102_5050,76.0,132.0,0.0,F.Cu
LED176,LED_APA-102-2020-256-8:APA102_5050,80.0,132.0,0.0,F.Cu
LED177,LED_APA-102-2020-256-8:APA102_5050,102.0,128.0,0.0,F.Cu
LED178,LED_APA-102-2020-256-8:APA102_5050,106.0,128.0,0.0,F.Cu
LED179,LED_APA-102-2020-256-8:APA102_5050,102.0,132.0,0.0,F.Cu
LED180,LED_APA-102-2020-256-8:APA102_5050,106.0,132.0,0.0,F.Cu
LED181,LED_APA-102-2020-256-8:APA102_5050,128.0,128.0,0.0,F.Cu
LED182,LED_APA-102-2020-256-8:APA102_5050,132.0,128.0,0.0,F.Cu
LED183,LED_APA-102-2020-256-8:APA102_5050,128.0,132.0,0.0,F.Cu
LED184,LED_APA-102-2020-256-8:APA102_5050,132.0,132.0,0.0,F.Cu
LED185,LED_APA-102-2020-256-8:APA102_5050,154.0,128.0,0.0,F.Cu
LED186,LED_APA-102-2020-256-8:APA102_5050,158.0,128.0,0.0,F.Cu
LED187,LED_APA-102-2020-256-8:APA102_5050,154.0,132.0,0.0,F.Cu
LED188,LED_APA-102-2020-256-8:APA102_5050,158.0,132.0,0.0,F.Cu
LED189,LED_APA-102-2020-256-8:APA102_5050,180.0,128.0,0.0,F.Cu
LED190,LED_APA-102-2020-256-8:APA102_5050,184.0,128.0,0.0,F.Cu
LED191,LED_APA-102-2020-256-8:APA102_5050,180.0,132.0,0.0,F.Cu
LED192,LED_APA-102-2020-256-8:APA102_5050,184.0,132.0,0.0,F.Cu
LED193,LED_APA-102-2020-256-8:APA102_5050,-2.0,154.0,0.0,F.Cu
LED194,LED_APA-102-2020-256-8:APA102_5050,2.0,154.0,0.0,F.Cu
LED195,LED_APA-102-2020-256-8:APA102_5050,-2.0,158.0,0.0,F.Cu
